"site","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified","wavs"
"s2lam001_180526",0.0166666666666667,0.608908045977012,0.0436781609195402,0.0795977011494253,0.0640804597701149,0.217672413793103,232
"s2lam001_180604",0.0501412429378531,0.11638418079096,0.221468926553672,0.246610169491525,0.0450564971751412,0.344632768361582,236
"s2lam001_180707",0.0847222222222222,0.370833333333333,0.021875,0.071875,0.0239583333333333,0.433333333333333,96
"s2lam001_190401",0.625265392781316,0.165180467091295,0.00636942675159236,0,0.0416135881104034,0.186411889596603,157
"s2lam001_190409",0.112202380952381,0.636904761904762,0.0151785714285714,0.00208333333333333,0.0672619047619048,0.186309523809524,112
"s2lam001_190416",0.298514851485149,0.273102310231023,0.0143564356435644,0.0198019801980198,0.05,0.357095709570957,202
"s2lam001_190520",0.00716049382716049,0.468148148148148,0.130864197530864,0.0861728395061728,0.121234567901235,0.22,135
"s2lam001_200616",0.0103092783505155,0.24192439862543,0.0140893470790378,0.483505154639175,0.0312714776632302,0.224742268041237,97
"s2lam001_200702",0.0420212765957447,0.268439716312057,0.113120567375887,0.152659574468085,0.0549645390070922,0.380141843971631,188
"s2lam001_210409",0.0631043256997455,0.0643765903307888,0.0526717557251908,0.153180661577608,0.344529262086514,0.34529262086514,131
"s2lam001_210424",0.0271523178807947,0.366225165562914,0.0810154525386313,0.0637969094922737,0.128918322295806,0.355187637969095,151
"s2lam001_210508",0.0293560606060606,0.234090909090909,0.090719696969697,0.0445075757575758,0.373484848484848,0.280871212121212,176
"s2lam001_210530",0.0133680555555556,0.387326388888889,0.0317708333333333,0.0276041666666667,0.4078125,0.199479166666667,192
"s2lam001_210610",0.0502347417840376,0.326056338028169,0.0178403755868545,0.0039906103286385,0.601173708920188,0.0995305164319249,142
"s2lam001_210624",0.00199004975124378,0.20771144278607,0.0228855721393035,0.436567164179104,0.108955223880597,0.233830845771144,134
"s2lam002_190304",0.0459183673469388,0.112414965986395,0.288095238095238,0.0474489795918367,0.0727891156462585,0.452891156462585,196
"s2lam002_190329",0.129850746268657,0.415422885572139,0.0228855721393035,0.0472636815920398,0.00447761194029851,0.388557213930348,134
"s2lam002_190406",0.0568421052631579,0.446315789473684,0.0328070175438597,0.0870175438596491,0.153333333333333,0.250877192982456,190
