site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2lam001_180526,63.89043651,2.135598658,0.172445295,0.707487291,0.319827817,1.727288306,4.78538143,0.943555434,0.975440485,0.971226427,0.005409141,0.289877867,0.603039872,0.044664521,0.563351362,0.362426611,0.085511819
s2lam001_180604,58.89678357,1.953499178,0.245444419,0.258842478,0.763435094,1.495019651,1.460037442,0.902905492,0.982367849,0.958331227,0.005660343,0.379314649,0.379312986,0.069343685,0.595926576,0.297602123,0.056201999
s2lam001_180707,59.11270281,2.027772958,0.220657063,-0.231429424,0.917615214,0.673541638,2.499694266,0.9015781,0.982765998,0.957282307,0.005547918,0.409277745,0.424683941,0.069139177,0.531738281,0.228118801,0.051574707
s2lam001_190401,58.93519259,1.133814847,0.734056115,-0.695371312,0.990751375,0.189323903,3.431835218,0.681675196,0.988115554,0.875911767,0.038891657,0.505287725,0.352417722,0.018642515,0.250335888,0.03981867,0.001841162
s2lam001_190409,64.56338414,1.899588089,0.394114009,0.226910522,0.647069432,1.152783242,6.813731512,0.825369604,0.980762569,0.933364976,6.30E-12,0.321596257,0.480262796,0.03278182,0.366106306,0.107386108,0.006905692
s2lam001_190416,59.15054588,1.925955792,0.355501629,-0.049900291,0.846571065,0.923814076,2.030704349,0.827384309,0.986448399,0.935296497,0.011750277,0.490014765,0.402758012,0.048386358,0.521706761,0.125039298,0.005685334
s2lam001_190520,60.62533317,2.189828089,0.137453437,0.27158756,0.676988523,1.432600339,3.818103214,0.931568113,0.985218745,0.96810734,0.005389785,0.336060894,0.473310338,0.055411174,0.562847222,0.27160108,0.046325231
s2lam001_200616,57.43713267,2.205786258,0.080804454,0.391334613,0.695195573,1.672903167,1.701780994,0.967430443,0.985683135,0.978167963,1.15E-12,0.320206003,0.426753803,0.102893497,0.626852448,0.420755795,0.158545425
s2lam001_200702,58.20045578,2.19556117,0.127307718,0.007815288,0.849268025,1.021283131,2.666085201,0.93093639,0.985642708,0.965871391,0.004350684,0.23615598,0.416938784,0.049668256,0.532091506,0.280450489,0.064827128
s2lam001_210409,61.64642712,1.917768305,0.341817519,-0.000429701,0.86879367,1.028354692,2.792418511,0.904872911,0.976727732,0.958475819,0.004958549,0.351348095,0.449744336,0.035467559,0.508766698,0.246980852,0.018070134
s2lam001_210424,61.22363332,2.094124225,0.218629377,0.190059378,0.740541141,1.258020018,2.951235514,0.923337567,0.982577073,0.962519672,0.005285959,0.447772349,0.400798799,0.04847942,0.594099234,0.277823765,0.050794185
s2lam001_210508,66.19342582,2.027748568,0.25376421,0.322028362,0.733108185,1.578915841,2.801338435,0.917177959,0.966967389,0.965240942,0.004734561,0.318640686,0.427199821,0.034360708,0.579667525,0.286181962,0.032171076
s2lam001_210530,67.05808991,1.970437547,0.303086786,0.16129581,0.745137903,1.23399691,3.389851293,0.923993054,0.97292347,0.966253366,0.005038697,0.523311933,0.438222195,0.032820333,0.641296387,0.348621649,0.046691895
s2lam001_210610,71.68608087,1.924160415,0.378394915,0.022765697,0.82977932,1.046930087,4.828347025,0.896944435,0.964771499,0.959764836,0.005880117,0.339929274,0.550766137,0.017936085,0.58984375,0.243324372,0.015322403
s2lam001_210624,58.52354813,2.214251754,0.089739843,0.536816178,0.602065708,2.071741655,1.542111121,0.968955757,0.982749618,0.981301547,0.002400519,1.529984395,0.372945352,0.081730513,0.65884445,0.466304802,0.185503148
s2lam002_190304,59.77794971,2.165137112,0.154188423,-0.143929181,0.936654474,0.731237464,3.182809237,0.938311173,0.985966633,0.970316458,0.005023836,0.213681013,0.500039837,0.046932924,0.524055325,0.270476593,0.057248485
s2lam002_190329,57.78900328,2.051047597,0.286853336,-0.741691886,0.995087431,0.161328357,2.451350872,0.831279127,0.98701689,0.929666207,0.010917566,0.259761435,0.373847331,0.049103206,0.437995569,0.121172694,0.017738456
s2lam002_190406,62.61221415,1.686052674,0.370188932,-0.16167097,0.912699246,0.761302507,3.193550588,0.872418318,0.980018621,0.950737238,0.007861843,0.418777007,0.387575252,0.046922294,0.574280428,0.218724965,0.042146382
s2lam002_190413,57.33562841,2.256599316,0.05413915,0.504735306,0.626325155,2.00383263,1.008531501,0.935502536,0.989266469,0.969800999,0.004657185,0.166150171,0.452502467,0.111219749,0.519428454,0.302212458,0.073530807
s2lam002_190524,58.13174809,1.983087814,0.277950986,-0.095568965,0.845547814,0.884884158,1.941784235,0.894781789,0.985423383,0.956586431,0.006381677,0.41698182,0.43552326,0.068339427,0.555792026,0.222435781,0.028556034
s2lam002_190604,59.71559468,2.252940728,0.098055129,0.604898498,0.433000205,1.794023041,3.886603291,0.910781471,0.987894163,0.962763062,0.006161934,0.286258625,0.444797734,0.067996116,0.555205676,0.220156973,0.022759885
s2lam002_190614,57.62322124,2.296073052,0.019460398,0.649902677,0.482793081,2.27134818,1.303804416,0.965955445,0.987482088,0.980651138,0.002788614,0.330459076,0.396144378,0.112007695,0.728290658,0.440284177,0.164768079
s2lam002_190621,58.70828502,2.180797535,0.121991368,0.213406736,0.751474394,1.206250262,5.449372868,0.924481401,0.987812192,0.964579547,0.005589851,0.285952553,0.518836714,0.090195746,0.44414605,0.223250456,0.082234701
s2lam002_200522,69.93337805,1.916948276,0.340624794,0.271382341,0.597145866,1.394866487,4.312235032,0.894292488,0.962270585,0.95107049,0.004677046,0.468235811,0.39313592,0.028683923,0.650851329,0.324581399,0.019122456
s2lam002_200616,58.49813398,2.245991353,0.060242828,0.498139137,0.608633815,1.873380117,1.574165635,0.961130142,0.985416932,0.978165766,0.002830302,0.572375554,0.365956597,0.096031896,0.685833109,0.430393998,0.150761045
s2lam002_200630,58.27368765,2.108029429,0.209555857,0.192107912,0.726585549,1.350588184,2.722263629,0.943032692,0.980262569,0.970015544,0.003598281,0.438252765,0.409236002,0.059972592,0.705664063,0.385367669,0.065485491
s2lam002_210422,58.51342996,2.258393355,0.050206446,0.589054517,0.530919617,2.037020271,1.707706276,0.966284649,0.983625408,0.98069069,0.003781764,1.442275748,0.384364455,0.070085636,0.709790333,0.479303925,0.228833302
s2lam002_210518,68.38012963,1.706505293,0.527714517,0.033977288,0.758058893,0.956825553,6.125221115,0.815875366,0.977007386,0.939708078,0.019781659,0.278847896,0.420929437,0.021979919,0.47609747,0.123646039,0.001979698
s2lam003_180604,57.25975814,2.302238175,0.00792859,0.218042736,0.831118285,1.313047649,2.769844301,0.963449544,0.989175278,0.979269102,0.004060241,0.619980709,0.351202653,0.101217874,0.728089944,0.33906008,0.157393496
s2lam003_180707,57.34287428,2.250678711,0.070528393,-0.434637276,0.977963266,0.403814195,3.342572072,0.890979332,0.989541115,0.952206707,0.008134084,0.101777257,0.454918074,0.07005486,0.534848168,0.162868181,0.0414109
s2lam003_190304,58.50833411,2.186959942,0.148036613,-0.158461265,0.939075587,0.715956674,3.653530625,0.908250119,0.987370048,0.959931608,0.007520795,0.227900348,0.535936452,0.042445975,0.496390298,0.181963849,0.029634326
