"site","wavs","preds","Anthropophony_mean","Anthropophony_var","Biophony_mean","Biophony_var","Geophony_mean","Geophony_var","Quiet_mean","Quiet_var","Interference_mean","Interference_var","Unidentified_mean","Unidentified_var","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam001_180526",712,21360,0.0130149812734082,0.0128461929493887,0.445177902621723,0.247006101595114,0.0482677902621723,0.045940161442001,0.174953183520599,0.144351325117446,0.0948501872659176,0.0858576487943841,0.254822097378277,0.189896686360318,278,9509,1031,3737,2026,5443
"s2lam001_180604",715,21450,0.0650815850815851,0.0608488091391723,0.0526340326340326,0.0498660159987028,0.328857808857809,0.220720640417596,0.186060606060606,0.151449117497884,0.0584149184149184,0.0550051800655558,0.343403263403263,0.225487974347129,1396,1129,7054,3991,1253,7366
"s2lam001_180707",362,10860,0.075414364640884,0.0697334593755517,0.256721915285451,0.190833345628894,0.0547882136279926,0.05179123426571,0.0615101289134438,0.0577319489718961,0.0626151012891344,0.05869985552292,0.49963167587477,0.250022886702597,819,2788,595,668,680,5426
"s2lam001_190401",462,13860,0.536147186147186,0.248711325473718,0.163347763347763,0.13667513267773,0.00822510822510823,0.00815804442328722,0.00317460317460317,0.00316475340647359,0.0746031746031746,0.0690425223652729,0.235497835497836,0.180051595709291,7431,2264,114,44,1034,3264
"s2lam001_190409",308,9240,0.0783549783549784,0.0722232920955726,0.606926406926407,0.238592565208,0.0265151515151515,0.0258148920747687,0.000865800865800866,0.00086514488506046,0.122402597402597,0.107431828372948,0.186147186147186,0.151512808726793,724,5608,245,8,1131,1720
"s2lam001_190416",596,17880,0.215044742729306,0.168809942625752,0.217337807606264,0.170111599062703,0.0137024608501119,0.013515459314935,0.0330536912751678,0.0319629324042942,0.188143176733781,0.152753865063346,0.35089485458613,0.227780395006802,3845,3886,245,591,3364,6274
"s2lam001_190520",420,12600,0.0203174603174603,0.0199062409841043,0.221349206349206,0.172367415151366,0.199603174603175,0.159774427801652,0.114126984126984,0.101110040227431,0.0821428571428571,0.0754013924007574,0.385873015873016,0.236993840529042,256,2789,2515,1438,1035,4862
"s2lam001_200616",305,9150,0.0191256830601093,0.0187619417930354,0.224808743169399,0.174288820122477,0.0813114754098361,0.0747080841944564,0.292786885245902,0.207085357353397,0.0607650273224044,0.0570788769055354,0.335737704918033,0.223042274619281,175,2057,744,2679,556,3072
"s2lam001_200702",568,17040,0.0437206572769953,0.0418116151375455,0.158333333333333,0.133271709998631,0.159272300469484,0.133912493487049,0.198591549295775,0.159162286353841,0.0455985915492958,0.0435219141009565,0.406924882629108,0.241351186328409,745,2698,2714,3384,777,6934
"s2lam001_210409",419,12570,0.0375497215592681,0.0361426152775897,0.0758154335719968,0.0700730282286488,0.0513922036595068,0.0487549237358548,0.146141607000796,0.124794165640826,0.410501193317422,0.242009216523359,0.308591885441527,0.213379909012039,472,953,646,1837,5160,3879
