"site","wavs","wavs_sans_int","Anthropophony_mean","Biophony_mean","Geophony_mean","Quiet_mean","Interference_mean"
"s2lam001_180526",712,317,0.0111392405063291,0.484556962025316,0.0417721518987342,0.207932489451477,0
"s2lam001_180604",715,241,0.0570323488045007,0.0722222222222222,0.222222222222222,0.257805907172996,0
"s2lam001_180707",362,111,0.0621513944223108,0.246613545816733,0.0593625498007968,0.0868525896414343,0
"s2lam001_190401",462,155,0.57513572204126,0.182519001085776,0.00749185667752443,0.00466883821932682,0
"s2lam001_190409",308,123,0.0657657657657658,0.796396396396396,0.00882882882882883,0.00126126126126126,0
"s2lam001_190416",596,231,0.237077625570776,0.274703196347032,0.0138812785388128,0.0410045662100457,0
"s2lam001_190520",420,149,0.0273062730627306,0.285485854858549,0.153259532595326,0.12140221402214,0
"s2lam001_200616",305,122,0.0169398907103825,0.265938069216758,0.0475409836065574,0.338069216757741,0
"s2lam001_200702",568,230,0.0422090729783038,0.151972386587771,0.164102564102564,0.235897435897436,0
"s2lam001_210409",419,332,0.0367816091954023,0.168582375478927,0.0118773946360153,0.403448275862069,0
"s2lam001_210424",439,290,0.0259507829977629,0.248322147651007,0.0995525727069351,0.117897091722595,0
"s2lam001_210508",543,454,0.0243445692883895,0.197752808988764,0.049438202247191,0.2187265917603,0
"s2lam001_210530",576,473,0.00970873786407767,0.672168284789644,0.013915857605178,0.0349514563106796,0
"s2lam001_210610",429,400,0.0747126436781609,0.791954022988506,0.00229885057471264,0.00689655172413793,0
"s2lam001_210624",422,190,0.0021551724137931,0.480172413793103,0.0195402298850575,0.272270114942529,0
"s2lam002_180707",41,0,0.241463414634146,0.0211382113821138,0.0414634146341463,0.0032520325203252,0
"s2lam002_190304",580,268,0.0415598290598291,0.0860042735042735,0.20534188034188,0.0943376068376068,0
"s2lam002_190329",422,29,0.184054283290925,0.266412213740458,0.0217981340118745,0.0604749787955895,0
"s2lam002_190406",564,291,0.0771672771672772,0.315873015873016,0.0114774114774115,0.213919413919414,0
"s2lam002_190413",749,194,0.0616816816816817,0.113573573573574,0.0296096096096096,0.40036036036036,0
"s2lam002_190524",434,57,0.213969938107869,0.1789566755084,0.0112290008841733,0.263660477453581,0
"s2lam002_190604",435,72,0.0741965105601469,0.393572084481175,0.00661157024793388,0.252157943067034,0
"s2lam002_190614",575,37,0.0323420074349442,0.166604708798017,0.00724907063197026,0.629677819083024,0
"s2lam002_190621",426,15,0.0142741281427413,0.322546634225466,0.0686942416869424,0.0155717761557178,0
"s2lam002_200522",877,733,0.0125,0.869444444444444,0.00347222222222222,0.0613425925925926,0
"s2lam002_200616",712,290,0.0247235387045814,0.133096366508689,0.0290679304897314,0.48349131121643,0
"s2lam002_200630",428,192,0.0213276836158192,0.279519774011299,0.0110169491525424,0.528248587570621,0
"s2lam002_210422",1001,173,0.0229871175523349,0.205394524959742,0.0869967793880837,0.314653784219002,0
"s2lam002_210518",435,326,0.280122324159021,0.373088685015291,0.00978593272171254,0.0651376146788991,0
"s2lam003_180604",713,15,0.00840496657115568,0.01981852913085,0.0138968481375358,0.759789875835721,0
"s2lam003_180707",994,27,0.0230954843157532,0.0487073422957601,0.245225784212341,0.0552568079972423,0
"s2lam003_190304",574,279,0.051638418079096,0.035819209039548,0.0682485875706215,0.389491525423729,0
"s2lam003_190406",567,34,0.0372732958098812,0.20281425891182,0.0106941838649156,0.446091307066917,0
"s2lam003_190413",757,112,0.021343669250646,0.0564857881136951,0.0369509043927649,0.6271834625323,0
"s2lam003_190510",580,165,0.0318072289156626,0.118955823293173,0.0648995983935743,0.0273092369477912,0
"s2lam003_190523",661,194,0.0678800856531049,0.285724482512491,0.0193433261955746,0.166095645967166,0
"s2lam003_190601",666,460,0.0252427184466019,0.108414239482201,0.0396440129449838,0.513268608414239,0
"s2lam003_190610",424,240,0.013768115942029,0.0813405797101449,0.00181159420289855,0.803985507246377,0
"s2lam003_190623",430,6,0.00542452830188679,0.133176100628931,0.0227987421383648,0.502044025157233,0
"s2lam003_200522",855,230,0.0239466666666667,0.308853333333333,0.0122133333333333,0.46752,0
"s2lam003_200616",707,176,0.0152542372881356,0.0838669177652229,0.0144381669805399,0.65021971123666,0
"s2lam003_200702",569,474,0.00280701754385965,0.0891228070175439,0.00631578947368421,0.713684210526316,0
"s2lam003_210417",548,340,0.0115384615384615,0.496314102564103,0.00288461538461538,0.234775641025641,0
"s2lam003_210502",429,389,0.0608333333333333,0.245,0.0241666666666667,0.1675,0
"s2lam003_210515",589,106,0.017736369910283,0.119530710835059,0.0961352657004831,0.331884057971015,0
"s2lam003_210608",433,284,0.0192393736017897,0.0577181208053691,0.00313199105145414,0.576062639821029,0
"s2lam003_210621",569,422,0.00226757369614512,0.226984126984127,0.00453514739229025,0.539229024943311,0
"s2lam005_180604",715,340,0.0271111111111111,0.0713777777777778,0.327644444444444,0.0116444444444444,0
"s2lam005_180707",989,124,0.24728323699422,0.109132947976879,0.199537572254335,0.0164161849710983,0
"s2lam005_190304",578,146,0.0537037037037037,0.0773148148148148,0.318364197530864,0.00632716049382716,0
"s2lam005_210502",710,578,0.0532828282828283,0.473989898989899,0.00606060606060606,0.118939393939394,0
"s2lam005_210521",567,271,0.0288288288288288,0.386486486486486,0.00461711711711712,0.416554054054054,0
"s2lam005_210702",565,91,0.0610407876230661,0.690576652601969,0.0116736990154712,0.010196905766526,0
"s2lam006_180604",704,85,0.00355411954765751,0.489014539579968,0.00694668820678514,0.234356488960689,0
"s2lam006_180707",1004,8,0.00739625167336011,0.0172690763052209,0.00143908969210174,0.88186077643909,0
"s2lam006_190311",461,144,0.178023133543638,0.491377497371188,0.00830704521556257,0.0212407991587802,0
"s2lam006_190324",1110,116,0.018075117370892,0.036485580147552,0.477464788732394,0.000100603621730382,0
"s2lam006_190410",974,94,0.107840909090909,0.24125,0.0268181818181818,0.15780303030303,0
"s2lam006_190421",520,163,0.0719887955182073,0.0719887955182073,0.103267973856209,0.0100840336134454,0
"s2lam006_190602",532,106,0.00195618153364632,0.142018779342723,0.0583724569640063,0.423787167449139,0
"s2lam006_190610",427,238,0.00793650793650794,0.295943562610229,0.00493827160493827,0.421164021164021,0
"s2lam006_200522",857,383,0.019831223628692,0.318213783403657,0.0459212376933896,0.226371308016878,0
"s2lam006_200708",565,230,0.23592039800995,0.405373134328358,0.00557213930348259,0.0516417910447761,0
"s2lam006_210327",570,211,0.0575673166202414,0.0282265552460539,0.0715877437325905,0.153667595171773,0
"s2lam006_210411",586,443,0.00909090909090909,0.0603729603729604,0.000932400932400932,0.841258741258741,0
"s2lam006_210501",570,219,0.00170940170940171,0.405413105413105,0.443684710351377,0.00151946818613485,0
"s2lam006_210516",143,143,NA,NA,NA,NA,NA
"s2lam006_210613",101,58,0.00387596899224806,0.803875968992248,0,0.075968992248062,0
"s2lam006_210627",428,323,0.00158730158730159,0.212380952380952,0.00349206349206349,0.552698412698413,0
"s2lam007_180624",874,102,0.0229274611398964,0.241753022452504,0.0479706390328152,0.425863557858376,0
"s2lam007_180702",569,315,0.188976377952756,0.360629921259843,0.0068241469816273,0.173359580052493,0
"s2lam007_180707",973,149,0.181148867313916,0.0973300970873786,0.101456310679612,0.0125,0
"s2lam007_190304",578,274,0.0571271929824561,0.18969298245614,0.231688596491228,0.0160087719298246,0
"s2lam007_190403",576,382,0.0280068728522337,0.289862542955326,0.025085910652921,0.264432989690722,0
"s2lam007_190419",715,444,0.0277982779827798,0.400615006150062,0.130135301353014,0.000984009840098401,0
"s2lam007_190510",721,521,0.124,0.351,0.00716666666666667,0.225166666666667,0
"s2lam007_190530",708,211,0.0720321931589537,0.311535881958417,0.00482897384305835,0.367270288397049,0
"s2lam007_190605",598,368,0.056231884057971,0.00797101449275362,0.323478260869565,0.0111594202898551,0
"s2lam007_190614",568,30,0.0593556381660471,0.271189591078067,0.000619578686493185,0.472304832713755,0
"s2lam007_190627",434,302,0.00151515151515152,0.268434343434343,0.0047979797979798,0.296969696969697,0
"s2lam008_180612",1284,836,0.00699404761904762,0.453422619047619,0.0171875,0.307068452380952,0
"s2lam008_180707",997,223,0.0453057708871662,0.0783376399655469,0.067786391042205,0.164254952627046,0
"s2lam008_190311",459,184,0.129090909090909,0.634909090909091,0.00715151515151515,0.00339393939393939,0
"s2lam008_190401",463,187,0.727657004830918,0.0311594202898551,0.0146135265700483,0.00519323671497585,0
"s2lam008_190422",459,399,0.02,0.232222222222222,0.121111111111111,0.296111111111111,0
"s2lam008_190528",417,175,0.00578512396694215,0.698760330578512,0.0486225895316804,0.0107438016528926,0
"s2lam008_190611",688,72,0.205411255411255,0.210714285714286,0.0200757575757576,0.0380411255411255,0
"s2lam008_200522",857,593,0.0150252525252525,0.651515151515151,0.0297979797979798,0.0345959595959596,0
"s2lam008_200616",707,189,0.011969111969112,0.384555984555985,0.0474903474903475,0.146975546975547,0
"s2lam008_200702",570,373,0.0235194585448393,0.157529610829103,0.0419627749576988,0.477664974619289,0
"s2lam008_210322",427,324,0.100323624595469,0.373139158576052,0.0177993527508091,0.0378640776699029,0
"s2lam008_210403",471,269,0.0351485148514852,0.441254125412541,0.0103960396039604,0.244884488448845,0
"s2lam008_210418",581,220,0.198337950138504,0.338134810710988,0.0101569713758079,0,0
"s2lam009_180604",711,53,0.0132218844984802,0.166261398176292,0.0664640324214792,0.433434650455927,0
"s2lam009_180707",1001,105,0.06015625,0.228943452380952,0.187165178571429,0.00669642857142857,0
"s2lam009_190312",426,18,0.028921568627451,0.0670751633986928,0.0917483660130719,0,0
"s2lam009_190403",574,310,0.0296717171717172,0.31540404040404,0.0838383838383838,0.0497474747474747,0
"s2lam010_180604",158,14,0.0238425925925926,0.170138888888889,0.0099537037037037,0.575,0
"s2lam010_180707",1329,309,0.0465359477124183,0.153137254901961,0.112614379084967,0.15218954248366,0
"s2lam010_190311",145,60,0.615686274509804,0.159607843137255,0,0,0
"s2lam010_190324",879,318,0.0139631610219846,0.0471776589423648,0.279203802733214,0.0961972667855021,0
"s2lam010_190406",564,377,0.0237076648841355,0.00623885918003565,0.363101604278075,0.285383244206774,0
"s2lam010_190416",600,316,0.021830985915493,0.0755868544600939,0.0461267605633803,0.68556338028169,0
"s2lam010_200710",527,48,0.0110647181628392,0.0740431454418928,0.00960334029227557,0.706819763395964,0
"s2lam010_210411",577,561,0.1,0.133333333333333,0.0104166666666667,0.510416666666667,0
"s2lam010_210430",413,276,0.0233576642335766,0.307542579075426,0.0467153284671533,0.321411192214112,0
"s2lam010_210517",445,157,0.0748842592592593,0.166666666666667,0.136574074074074,0.10162037037037,0
"s2lam010_210604",428,181,0.0321187584345479,0.590148448043185,0.0264507422402159,0.0929824561403509,0
"s2lam010_210614",572,138,0.0451612903225806,0.343164362519201,0.01321044546851,0.224807987711214,0
"s2lam010_210628",429,221,0.0334935897435897,0.174679487179487,0.00128205128205128,0.561217948717949,0
"s2lam011_180604",698,323,0.0200888888888889,0.0425777777777778,0.0316444444444444,0.595288888888889,0
"s2lam011_180707",992,96,0.0151041666666667,0.334598214285714,0.0107142857142857,0.428385416666667,0
"s2lam011_190311",456,193,0.121419518377693,0.648795944233207,0.0253485424588086,0.00152091254752852,0
"s2lam011_190324",880,228,0.00593047034764826,0.0697341513292433,0.39560327198364,0.0288854805725971,0
"s2lam011_190407",596,234,0.079097605893186,0.254604051565378,0.0386740331491713,0.335543278084715,0
"s2lam011_190416",596,89,0.0975016436554898,0.596909927679158,0.0138067061143984,0.0432610124917817,0
"s2lam011_190510",577,58,0.0159922928709056,0.0659601798330122,0.0284521515735389,0.624341682723186,0
"s2lam011_190520",425,185,0.0416666666666667,0.159027777777778,0.0798611111111111,0.32875,0
"s2lam011_190529",567,217,0.0543809523809524,0.152,0.0273333333333333,0.439904761904762,0
"s2lam011_190604",446,81,0.22310502283105,0.194155251141553,0.0189954337899543,0.147671232876712,0
"s2lam011_200522",854,121,0.0694861300591178,0.209595270577535,0.0045475216007276,0.51768985902683,0
"s2lam011_200624",403,149,0.0448818897637795,0.280314960629921,0.058005249343832,0.236614173228346,0
"s2lam011_200710",568,232,0.010218253968254,0.139285714285714,0.0383928571428571,0.525198412698413,0
"s2lam011_210326",578,367,0.0611374407582938,0.10173775671406,0.00110584518167457,0.701263823064771,0
