site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_mean,YYYY
s2lam001_180526,61.99490553,2.149055574,0.153950612,0.597877219,0.457919139,1.750293998,3.482232454,0.949893991,0.979269881,0.974592522,0.003840494,0.253400507,0.592691978,0.04719808,0.380531212,2018
s2lam001_180604,59.83715116,1.695887739,0.380185849,0.001672898,0.851438798,1.111936985,1.652623337,0.857493892,0.979097429,0.94274571,0.00864612,0.319462419,0.378601506,0.054610272,0.239045536,2018
s2lam001_180707,60.70963622,1.839384598,0.314170617,-0.240195438,0.940630141,0.649954328,2.646558188,0.890003327,0.977291053,0.954775405,0.006798537,0.382103229,0.432099957,0.064639677,0.244014693,2018
s2lam001_190401,59.99187264,1.222993225,0.689223394,-0.627551095,0.987875698,0.252765562,3.074682859,0.706147905,0.987253082,0.886674809,0.035370828,0.503328457,0.353751082,0.021939071,0.053618576,2019
s2lam001_190409,65.30204612,1.728500834,0.482553123,0.195379638,0.639933321,1.000060739,6.068806773,0.810245589,0.975087388,0.928080585,6.88E-12,0.292110473,0.477232168,0.025770605,0.114035622,2019
s2lam001_190416,65.79106933,1.959937342,0.323673485,0.005305363,0.869687436,0.997821002,2.143818578,0.853370267,0.97857189,0.947743272,0.009921021,0.462559635,0.433875101,0.046676746,0.153283742,2019
s2lam001_190520,59.34061405,2.208618748,0.122735221,-0.031261143,0.838978257,1.006772149,3.270263099,0.913593563,0.986323005,0.961396135,0.006778477,0.323083564,0.464735675,0.051641814,0.237409573,2019
s2lam001_200616,57.67980898,2.092611466,0.173274551,0.148325801,0.782825597,1.308371146,2.21113691,0.945560568,0.98246052,0.969324436,1.65E-12,0.324187664,0.433414624,0.074828948,0.363735023,2020
s2lam001_200702,57.92899683,2.207464044,0.103339438,-0.036450713,0.8669982,0.9949074,2.269845949,0.933640809,0.986458284,0.967106721,0.00472535,0.250640991,0.418534782,0.058804239,0.312801275,2020
s2lam001_210409,64.00625467,1.881763124,0.360660081,0.003005074,0.87110879,1.039306968,2.928769471,0.904751458,0.971002597,0.959858325,0.005069914,0.351739789,0.468151046,0.045650183,0.267629428,2021
s2lam001_210424,62.75142498,1.948469973,0.309794303,0.194730276,0.775561796,1.306373508,3.035150058,0.909077652,0.976914602,0.960250893,0.006576374,0.497938819,0.412845436,0.043390857,0.267072583,2021
s2lam001_210508,64.93974936,1.999149214,0.264001149,0.341229201,0.715325359,1.645066259,2.734137011,0.923590464,0.96880444,0.967129189,0.004211474,0.387133112,0.412599136,0.028826897,0.314705439,2021
s2lam001_210530,65.16181423,1.940663899,0.327050953,0.1912644,0.705170713,1.255548051,3.070015368,0.92157727,0.97230285,0.96314472,0.004533776,0.529776048,0.424036673,0.03654489,0.377390682,2021
s2lam001_210610,70.59898358,1.852016737,0.419527298,-0.029700058,0.851570146,0.963099346,4.50001148,0.887246928,0.965849831,0.955728847,0.006361675,0.32919484,0.530840371,0.016498109,0.223749543,2021
s2lam001_210624,59.02496875,2.187908152,0.115173201,0.489056396,0.597598549,1.918833209,1.788544055,0.962329606,0.982158876,0.978475184,0.002628719,1.418949298,0.37506203,0.0762231,0.446968676,2021
s2lam002_180707,56.97791644,2.216778049,0.122050024,-0.895655939,0.997792722,0.061897227,1.750330583,0.827338975,0.988924834,0.926327629,0.013197077,0.071832166,0.398687976,0.064616361,0.117325076,2018
